유형,유통사,rank_col,브랜드(원본),영어상품명,판정,판정근거,기존작업여부,hs_code,confidence,reason,evidence_url,product_identity_note,status,db_verified
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),1,카라펠리,"Carapelli Original Extra Virgin Olive Oil, Cold Extracted, Contains Polyphenols and Antioxidants, 16.9 fl oz",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),35,카라펠리,"Carapelli Original Extra Virgin Olive Oil, Cold Extracted, Contains Polyphenols and Antioxidants, 16.9 fl oz",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),5,카라펠리,"Carapelli Unfiltered Extra Virgin Olive Oil, Cold Extracted, Contains Polyphenols and Antioxidants, 500 ml",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),38,카라펠리,"Carapelli Unfiltered Extra Virgin Olive Oil, Cold Extracted, Contains Polyphenols and Antioxidants, 500 ml",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),33,카라펠리 -(NB),Carapelli - Organic Extra Virgin Olive Oil: Cold-Pressed Organic EVOO – 33.8 Fluid Ounces (1 Liter),,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),9,카라펠리,"Carapelli Organic Extra Virgin Olive Oil, Cold Extracted, Contains Polyphenols and Antioxidants, 16.9 oz",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),3,폼페이안(NB),"Pompeian Smooth Extra Virgin Olive Oil - 68 fl oz (2 L) First Cold Pressed Olive Oil for Cooking - Smooth Taste for Sauteing, Stir-Frying, and Baking - Value Size",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),2,폼페이안,Pompeian Smooth Extra Virgin Olive Oil - 16 fl oz,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),8,폼페이안,Pompeian Smooth Extra Virgin Olive Oil - 32 fl oz,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),28,폼페이안,Pompeian Smooth Extra Virgin Olive Oil - 68 fl oz,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),37,폼페이안,Pompeian Smooth Extra Virgin Olive Oil - 16 fl oz,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),7,폼페이안,"Pompeian Organic Robust Extra Virgin Olive Oil Cooking Spray - 5 fl oz, 1 Count",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),15,폼페이안,Pompeian Organic Robust Extra Virgin Olive Oil - 16 fl oz,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),40,폼페이안,"Pompeian Organic Robust Extra Virgin Olive Oil Cooking Spray - 5 fl oz, 1 Count",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),8,폼페이안(NB),"Pompeian Robust Extra Virgin Olive Oil - 16 Fl Oz - First Cold Pressed Olive Oil for Cooking - Bold Taste for Pasta, Marinades, and Salad Dressings",,,new_from_live_db_scan,2103.90-9090,medium,올리브유 베이스 드레싱(순수 오일 아님): 기타 소스류로 잠정분류,관세청 2026 HSK,,researched_v2_direct,ok
