번호,대분류,product_type,query
1,올리브유,OLITALIA 엑스트라버진 올리브유,extra virgin olive oil
2,올리브유,OLITALIA 유기농 엑스트라버진 올리브유,organic extra virgin olive oil
3,아보카도오일,CHOSEN FOODS 아보카도오일,avocado oil
4,마요네즈,하인즈 굿마요네즈,mayonnaise
5,머스타드소스,MAILLE 홀그레인 머스타드,whole grain mustard
6,과일기타,스키피 크런치 땅콩버터,crunchy peanut butter
7,감자스낵,프링글스 오리지널 멀티팩,potato crisps
8,과일기타,LES COMTES DE PROVENCE 딸기잼,strawberry jam
9,감자튀김,CAVENDISH 크리스피 스파이시,spicy french fries
10,샌드,NABISCO 오레오쿠키,chocolate sandwich cookies
11,감자스낵,프링글스 사워크림&어니언 멀티팩,sour cream onion chips
12,감자스낵,레이즈 클래식,potato chips
13,감자튀김,CAVENDISH 스트레이트컷 감자,straight cut french fries
14,웰빙과자 유기농/무농,네이처밸리 프로틴바,protein bar
15,젤리,하리보 골드베렌,gummy bears
16,스파게티소스,RAO'S 마리나라소스,marinara sauce
17,과일기타,스키피 크리미 땅콩버터,creamy peanut butter
18,치킨,CP 플레이밍 치킨 텐더,chicken tenders
19,빵,MENISSEZ 미니 프렌치롤,french rolls
20,과일기타,LES COMTES DE PROVENCE 멀티베리 스프레드,mixed berry spread
21,웰빙과자 유기농/무농,크리스피 코코넛롤,crispy coconut rolls
22,젤리,하리보 스타믹스젤리,gummy candy
23,기타스넥,덴로쿠 스낵믹스 (개별포장 믹스),japanese rice cracker mix
24,스파게티소스,RAGU 토마토 파스타소스,tomato pasta sauce
25,만두,CP 통새우완탕,shrimp wonton
26,감자튀김,MCCAIN 해쉬브라운 감자,hash browns
27,굴소스,이금기 프리미엄 굴소스,oyster sauce
28,젓갈,카네후쿠 짜먹는 명란젓갈,pollock roe
29,스파게티소스,HEINZ 클레시코 알프레도소스,alfredo sauce
30,스파게티소스,데체코 바질페스토,basil pesto
31,과자/스넥,KRACKCORN 카라멜 팝콘,caramel popcorn
32,과자/스넥,카라멜팝콘 클래식,caramel popcorn
33,과자/스넥,LIKE AIR 퍼프콘 클래식,puffcorn
34,과자/스넥,도리토스 나초칩,nacho cheese chips
35,과자/스넥,엘로 토티야칩스,tortilla chips
36,비스켓,NABISCO 리츠 오리지널,butter crackers
37,비스켓,맥비티 다이제스티브 투고,digestive biscuits
38,스낵,크리스피롤 12곡,wafer rolls
39,겨자/와사비,S&B생와사비,wasabi paste
40,과일기타,페레로 누텔라,chocolate hazelnut spread
41,포도씨유,OTTAVIO 포도씨유,grapeseed oil
42,"젤리,푸딩",트롤리 올인원 젤리,gummy worms
43,케찹,하인즈 토마토 케찹,ketchup
44,카레짜장,S&B 골든카레 (중간맛/매운맛),japanese curry
45,치즈,EURO POMELLA 부라타치즈,burrata cheese
46,전통-과즙음료,JUVER 사과주스,apple juice
47,초코렛/캔디/껌,오리히로 과일 곤약젤리,konjac jelly
48,초코렛/캔디/껌,DR.Q 과즙젤리 4종,fruit jelly candy
49,스파게티소스,AGROMONTE 토마토 파스타 소스,tomato basil pasta sauce
50,기타소스류,타바스코핫소스,hot sauce
51,"젤리,푸딩",후룻 바이 풋,fruit snack rolls
52,"젤리,푸딩",트롤리 사우어 구미,sour gummy candy
53,과자/스넥,MISURA 프로틴 플레이크,protein cereal
54,과자/스넥,퀘이커 심플리그래놀라,granola
55,과자/스넥,GENERAL MILLS 골든그레이엄,breakfast cereal
56,과자/스넥,GENERAL MILLS 시나몬토스트크런치,cinnamon cereal
57,기타스넥,KASUGAI 와사비콩 스낵 (그린피스+잠두),wasabi peas
58,샌드,O'DAY 누가샌드위치 크래커,nougat cookies
59,케찹,하인즈 유기농 토마토케찹,organic ketchup
60,디저트,EMMI 이탈리안 티라미슈,tiramisu
61,과일기타,본마망 무화과잼,fig jam
62,과일기타,본마망 4프루츠잼,fruit preserves
63,수입기타,미니프레첼,mini pretzels
64,전통-과즙음료,TIPCO 파인애플주스 (착즙),pineapple juice
65,웰빙과자 유기농/무농,네이처밸리 트레일 믹스바,trail mix bar
66,전통-과즙음료,JUVER 레몬에이드,lemonade
67,커피/코코아,네스카페 테이스터스 초이스커피,instant coffee
68,"젤리,푸딩",하리보 푸르티부시,fruit gummy
69,"젤리,푸딩",하리보 메가 파티 젤리,gummy candy variety
70,커피/코코아,스타벅스 미디엄 아메리카노,instant americano coffee
71,커피/코코아,스타벅스 다크아메리카노,instant dark roast coffee
72,크래커,체다치즈 크래커,cheddar cheese crackers
73,돈까스/스테이크,A1스테이크소스,steak sauce
74,아보카도오일,OTTAVIO 아보카도 오일,avocado oil
75,디저트,PM SWEET 36 마카롱,macarons
76,크래커,완두콩 크래커,green pea crackers
77,크래커,MISURA 통밀 크래커,whole wheat crackers
78,전통-과즙음료,TIPCO 오렌지자몽주스 (착즙),orange grapefruit juice
79,과자/스넥,TENKEI 종합 모나카,munakka wafer snacks
80,초코렛/캔디/껌,GENERAL MILLS 후르츠 롤업 젤리,fruit flavored snack rolls
81,초코렛/캔디/껌,GENERAL MILLS 후르츠거거셔스 젤리,fruit filled gummy snacks
82,초코렛/캔디/껌,스니커즈 땅콩 펀사이즈,peanut caramel chocolate candy
83,초코렛/캔디/껌,스니커즈 미니스,chocolate candy minis
